date,units_sold
2025-01-01,42
2025-01-02,41
2025-01-03,52
2025-01-04,49
2025-01-05,27
2025-01-06,26
2025-01-07,35
2025-01-08,39
2025-01-09,47
2025-01-10,45
2025-01-11,49
2025-01-12,42
2025-01-13,34
2025-01-14,41
2025-01-15,44
2025-01-16,44
2025-01-17,52
2025-01-18,41
2025-01-19,43
2025-01-20,34
2025-01-21,35
2025-01-22,39
2025-01-23,55
2025-01-24,50
2025-01-25,44
2025-01-26,38
2025-01-27,38
2025-01-28,39
2025-01-29,45
2025-01-30,52
2025-01-31,62
2025-02-01,45
2025-02-02,38
2025-02-03,32
2025-02-04,41
2025-02-05,50
2025-02-06,50
2025-02-07,48
2025-02-08,44
2025-02-09,44
2025-02-10,41
2025-02-11,41
2025-02-12,42
2025-02-13,53
2025-02-14,54
2025-02-15,50
2025-02-16,46
2025-02-17,39
2025-02-18,43
2025-02-19,46
2025-02-20,54
2025-02-21,57
2025-02-22,42
2025-02-23,41
2025-02-24,36
2025-02-25,37
2025-02-26,45
2025-02-27,61
2025-02-28,50
2025-03-01,55
2025-03-02,35
2025-03-03,38
2025-03-04,42
2025-03-05,50
2025-03-06,57
2025-03-07,60
2025-03-08,50
2025-03-09,42
2025-03-10,45
2025-03-11,41
2025-03-12,42
2025-03-13,49
2025-03-14,52
2025-03-15,55
2025-03-16,46
2025-03-17,45
2025-03-18,41
2025-03-19,50
2025-03-20,59
2025-03-21,56
2025-03-22,55
2025-03-23,43
2025-03-24,40
2025-03-25,42
2025-03-26,44
2025-03-27,59
2025-03-28,56
2025-03-29,54
2025-03-30,49
2025-03-31,45
